age group desc,birth count,birth count_pct,county name,low birth weight ind desc,sort,year desc
35 to 39,*,*,Carroll,Total,18332,2012
40 to 44,*,*,Clark,Total,18401,2012
Less than 15,*,*,Carroll,Total,18341,2012
30 to 34,602,100.0,Clermont,Total,18428,2012
Less than 15,*,*,Champaign,Total,18374,2012
30 to 34,86,100.0,Clinton,Total,18461,2012
18 to 19,*,*,Carroll,Total,18320,2012
20 to 24,139,100.0,Champaign,Total,18356,2012
25 to 29,3,990,Cuyahoga,Normal birth weight (2500g+),90,2007
35 to 39,1,747,Cuyahoga,Normal birth weight (2500g+),89,2007
Unknown,0,0.0,Cuyahoga,Total,24614,2014
35 to 39,45,100.0,Darke,Total,24635,2014
15 to 17,282,100.0,Franklin,Total,24818,2014
18 to 19,32,100.0,Fayette,Total,24788,2014
35 to 39,34,100.0,Fulton,Total,24866,2014
20 to 24,117,100.0,Fulton,Total,24857,2014
Less than 15,*,*,Fayette,Total,24809,2014
25 to 29,121,100.0,Gallia,Total,24893,2014
25 to 29,92,100.0,Fayette,Total,24794,2014
Unknown,0,0.0,Fulton,Total,24878,2014
45 and older,0,0.0,Fulton,Total,24872,2014
18 to 19,751,100.0,Franklin,Total,24821,2014
30 to 34,45,100.0,Fayette,Total,24797,2014
25 to 29,196,100.0,Fulton,Total,24860,2014
15 to 17,*,*,Fayette,Total,24785,2014
30 to 34,278,100.0,Geauga,Total,24929,2014
40 to 44,478,100.0,Franklin,Total,24836,2014
45 and older,0,0.0,Gallia,Total,24905,2014
Unknown,0,0.0,Franklin,Total,24845,2014
18 to 19,27,100.0,Fulton,Total,24854,2014
Less than 15,*,*,Franklin,Total,24842,2014
15 to 17,*,*,Fulton,Total,24851,2014
20 to 24,130,100.0,Gallia,Total,24890,2014
18 to 19,*,*,Gallia,Total,24887,2014
40 to 44,*,*,Fulton,Total,24869,2014
30 to 34,135,100.0,Fulton,Total,24863,2014
20 to 24,3,894,Franklin,Total,100,2014
15 to 17,*,*,Gallia,Total,24884,2014
25 to 29,572,100.0,Greene,Total,24959,2014
20 to 24,402,100.0,Greene,Total,24956,2014
20 to 24,160,100.0,Geauga,Total,24923,2014
18 to 19,*,*,Geauga,Total,24920,2014
35 to 39,157,100.0,Geauga,Total,24932,2014
35 to 39,188,100.0,Greene,Total,24965,2014
Unknown,0,0.0,Geauga,Total,24944,2014
40 to 44,40,100.0,Greene,Total,24968,2014
Less than 15,*,*,Gallia,Total,24908,2014
15 to 17,*,*,Geauga,Total,24917,2014
18 to 19,69,100.0,Greene,Total,24953,2014
25 to 29,3,229,Hamilton,Total,100,2014
25 to 29,249,100.0,Geauga,Total,24926,2014
15 to 17,*,*,Greene,Total,24950,2014
30 to 34,73,100.0,Gallia,Total,24896,2014
35 to 39,28,100.0,Gallia,Total,24899,2014
40 to 44,*,*,Gallia,Total,24902,2014
Unknown,0,0.0,Gallia,Total,24911,2014
Less than 15,0,0.0,Fulton,Total,24875,2014
40 to 44,35,100.0,Geauga,Total,24935,2014
Unknown,0,0.0,Greene,Total,24977,2014
Less than 15,0,0.0,Geauga,Total,24941,2014
15 to 17,214,100.0,Hamilton,Total,25016,2014
45 and older,0,0.0,Geauga,Total,24938,2014
15 to 17,*,*,Guernsey,Total,24983,2014
18 to 19,34,100.0,Guernsey,Total,24986,2014
18 to 19,42,100.0,Hancock,Total,25052,2014
40 to 44,252,100.0,Hamilton,Total,25034,2014
Less than 15,0,0.0,Greene,Total,24974,2014
30 to 34,84,100.0,Guernsey,Total,24995,2014
30 to 34,531,100.0,Greene,Total,24962,2014
35 to 39,*,*,Guernsey,Total,24998,2014
30 to 34,3,185,Hamilton,Total,100,2014
45 and older,*,*,Greene,Total,24971,2014
20 to 24,109,100.0,Hardin,Total,25088,2014
Unknown,0,0.0,Hamilton,Total,25043,2014
15 to 17,*,*,Hancock,Total,25049,2014
Less than 15,*,*,Hamilton,Total,25040,2014
45 and older,30,85.7,Franklin,Normal birth weight (2500g+),27841,2015
35 to 39,38,88.4,Fulton,Normal birth weight (2500g+),27868,2015
18 to 19,119,13.9,Cuyahoga,Low birth weight (<2500g),21585,2013
40 to 44,*,*,Crawford,Normal birth weight (2500g+),21568,2013
20 to 24,1,509,Summit,Total,100,2009
20 to 24,652,100.0,Trumbull,Total,11558,2009
45 and older,*,*,Summit,Total,11540,2009
18 to 19,32,100.0,Union,Total,11621,2009
Less than 15,*,*,Stark,Total,11510,2009
40 to 44,134,100.0,Summit,Total,11537,2009
Less than 15,*,*,Tuscarawas,Total,11609,2009
40 to 44,41,100.0,Trumbull,Total,11570,2009
30 to 34,176,100.0,Union,Total,11630,2009
25 to 29,209,100.0,Union,Total,11627,2009
45 and older,*,*,Stark,Total,11507,2009
Unknown,0,0.0,Tuscarawas,Total,11612,2009
40 to 44,*,*,Tuscarawas,Total,11603,2009
35 to 39,61,100.0,Union,Total,11633,2009
18 to 19,193,100.0,Trumbull,Total,11555,2009
Unknown,0,0.0,Trumbull,Total,11579,2009
25 to 29,682,100.0,Trumbull,Total,11561,2009
18 to 19,77,100.0,Tuscarawas,Total,11588,2009
30 to 34,411,100.0,Trumbull,Total,11564,2009
35 to 39,78,100.0,Tuscarawas,Total,11600,2009
30 to 34,214,100.0,Tuscarawas,Total,11597,2009
Unknown,0,0.0,Union,Total,11645,2009
15 to 17,*,*,Tuscarawas,Total,11585,2009
40 to 44,*,*,Union,Total,11636,2009
15 to 17,*,*,Van Wert,Total,11651,2009
Unknown,0,0.0,Van Wert,Total,11678,2009
18 to 19,*,*,Van Wert,Total,11654,2009
45 and older,0,0.0,Vinton,Total,11705,2009
20 to 24,125,100.0,Union,Total,11624,2009
25 to 29,44,100.0,Vinton,Total,11693,2009
Unknown,0,0.0,Summit,Total,11546,2009
45 and older,0,0.0,Union,Total,11639,2009
15 to 17,*,*,Union,Total,11618,2009
18 to 19,*,*,Vinton,Total,11687,2009
25 to 29,114,100.0,Van Wert,Total,11660,2009
40 to 44,*,*,Van Wert,Total,11669,2009
35 to 39,*,*,Van Wert,Total,11666,2009
45 and older,*,*,Tuscarawas,Total,11606,2009
45 and older,0,0.0,Van Wert,Total,11672,2009
15 to 17,*,*,Vinton,Total,11684,2009
40 to 44,79,100.0,Warren,Total,11735,2009
Less than 15,0,0.0,Union,Total,11642,2009
Less than 15,0,0.0,Van Wert,Total,11675,2009
30 to 34,*,*,Vinton,Total,11696,2009
Unknown,0,0.0,Vinton,Total,11711,2009
20 to 24,112,100.0,Van Wert,Total,11657,2009
30 to 34,62,100.0,Van Wert,Total,11663,2009
45 and older,*,*,Warren,Total,11738,2009
15 to 17,36,100.0,Warren,Total,11717,2009
18 to 19,116,100.0,Warren,Total,11720,2009
15 to 17,*,*,Washington,Total,11750,2009
Less than 15,0,0.0,Vinton,Total,11708,2009
20 to 24,438,100.0,Warren,Total,11723,2009
25 to 29,185,100.0,Washington,Total,11759,2009
20 to 24,*,*,Vinton,Total,11690,2009
35 to 39,*,*,Vinton,Total,11699,2009
18 to 19,79,100.0,Wayne,Total,11786,2009
15 to 17,30,100.0,Wayne,Total,11783,2009
Less than 15,0,0.0,Warren,Total,11741,2009
40 to 44,0,0.0,Vinton,Total,11702,2009
35 to 39,370,100.0,Warren,Total,11732,2009
25 to 29,788,100.0,Warren,Total,11726,2009
45 and older,0,0.0,Washington,Total,11771,2009
35 to 39,141,100.0,Wayne,Total,11798,2009
Unknown,0,0.0,Washington,Total,11777,2009
Unknown,0,0.0,Wayne,Total,11810,2009
20 to 24,176,100.0,Washington,Total,11756,2009
45 and older,0,0.0,Williams,Total,11837,2009
18 to 19,61,100.0,Washington,Total,11753,2009
30 to 34,120,100.0,Washington,Total,11762,2009
18 to 19,52,100.0,Williams,Total,11819,2009
25 to 29,129,100.0,Williams,Total,11825,2009
35 to 39,36,100.0,Washington,Total,11765,2009
Less than 15,*,*,Wayne,Total,11807,2009
30 to 34,372,100.0,Wayne,Total,11795,2009
40 to 44,*,*,Williams,Total,11834,2009
30 to 34,832,100.0,Warren,Total,11729,2009
Unknown,0,0.0,Warren,Total,11744,2009
Less than 15,*,*,Washington,Total,11774,2009
25 to 29,526,100.0,Wayne,Total,11792,2009
35 to 39,27,100.0,Williams,Total,11831,2009
Less than 15,*,*,Williams,Total,11840,2009
20 to 24,122,100.0,Williams,Total,11822,2009
18 to 19,78,100.0,Wood,Total,11852,2009
40 to 44,*,*,Washington,Total,11768,2009
Less than 15,0,0.0,Wyandot,Total,11906,2009
45 and older,*,*,Wayne,Total,11804,2009
20 to 24,386,100.0,Wayne,Total,11789,2009
15 to 17,*,*,Williams,Total,11816,2009
40 to 44,31,100.0,Wayne,Total,11801,2009
40 to 44,*,*,Wood,Total,11867,2009
Less than 15,*,*,Wood,Total,11873,2009
Unknown,0,0.0,Williams,Total,11843,2009
20 to 24,315,100.0,Wood,Total,11855,2009
45 and older,*,*,Wood,Total,11870,2009
30 to 34,0,0.0,NonOH,Total,11927,2009
35 to 39,158,100.0,Wood,Total,11864,2009
40 to 44,0,0.0,NonOH,Total,11933,2009
15 to 17,*,*,Wyandot,Total,11882,2009
25 to 29,459,100.0,Wood,Total,11858,2009
30 to 34,66,100.0,Williams,Total,11828,2009
18 to 19,*,*,Wyandot,Total,11885,2009
30 to 34,349,100.0,Wood,Total,11861,2009
Unknown,0,0.0,Wyandot,Total,11909,2009
20 to 24,0,0.0,NonOH,Total,11921,2009
Unknown,0,0.0,Wood,Total,11876,2009
15 to 17,*,*,Wood,Total,11849,2009
18 to 19,0,0.0,NonOH,Total,11918,2009
25 to 29,109,100.0,Wyandot,Total,11891,2009
40 to 44,*,*,Wyandot,Total,11900,2009
30 to 34,47,100.0,Wyandot,Total,11894,2009
15 to 17,0,0.0,Unknown,Total,11948,2009
30 to 34,0,0.0,Unknown,Total,11960,2009
25 to 29,0,0.0,NonOH,Total,11924,2009
15 to 17,0,0.0,NonOH,Total,11915,2009
25 to 29,0,0.0,Unknown,Total,11957,2009
Unknown,0,0.0,NonOH,Total,11942,2009
20 to 24,77,100.0,Wyandot,Total,11888,2009
15 to 17,*,*,Adams,Total,12014,2010
45 and older,0,0.0,Wyandot,Total,11903,2009
Less than 15,0,0.0,NonOH,Total,11939,2009
30 to 34,249,100.0,Allen,Total,12059,2010
Less than 15,0,0.0,Adams,Total,12038,2010
45 and older,0,0.0,NonOH,Total,11936,2009
25 to 29,89,100.0,Adams,Total,12023,2010
18 to 19,0,0.0,Unknown,Total,11951,2009
Unknown,0,0.0,Unknown,Total,11975,2009
Less than 15,*,*,Allen,Total,12071,2010
35 to 39,*,*,Wyandot,Total,11897,2009
40 to 44,0,0.0,Unknown,Total,11966,2009
18 to 19,45,100.0,Adams,Total,12017,2010
Unknown,0,0.0,Allen,Total,12074,2010
35 to 39,0,0.0,NonOH,Total,11930,2009
25 to 29,464,11.1,Cuyahoga,Low birth weight (<2500g),33603,2017 **
25 to 29,53,7.8,Trumbull,Low birth weight (<2500g),11559,2009
Unknown,0,0.0,Trumbull,Normal birth weight (2500g+),11578,2009
45 and older,*,*,Tuscarawas,Normal birth weight (2500g+),11605,2009
35 to 39,30,14.4,Trumbull,Low birth weight (<2500g),11565,2009
45 and older,*,*,Trumbull,Low birth weight (<2500g),11571,2009
18 to 19,15,7.8,Trumbull,Low birth weight (<2500g),11553,2009
20 to 24,10,8.0,Union,Low birth weight (<2500g),11622,2009
18 to 19,4,12.5,Union,Low birth weight (<2500g),11619,2009
Unknown,0,0.0,Trumbull,Low birth weight (<2500g),11577,2009
Less than 15,*,*,Tuscarawas,Low birth weight (<2500g),11607,2009
20 to 24,115,92.0,Union,Normal birth weight (2500g+),11623,2009
Unknown,0,0.0,Tuscarawas,Normal birth weight (2500g+),11611,2009
40 to 44,4,21.1,Tuscarawas,Low birth weight (<2500g),11601,2009
35 to 39,51,83.6,Union,Normal birth weight (2500g+),11632,2009
30 to 34,10,5.7,Union,Low birth weight (<2500g),11628,2009
45 and older,0,0.0,Union,Normal birth weight (2500g+),11638,2009
25 to 29,193,92.3,Union,Normal birth weight (2500g+),11626,2009
Unknown,0,0.0,Union,Normal birth weight (2500g+),11644,2009
35 to 39,10,16.4,Union,Low birth weight (<2500g),11631,2009
15 to 17,2,16.7,Union,Low birth weight (<2500g),11616,2009
15 to 17,1,4.8,Tuscarawas,Low birth weight (<2500g),11583,2009
15 to 17,*,*,Union,Normal birth weight (2500g+),11617,2009
25 to 29,16,7.7,Union,Low birth weight (<2500g),11625,2009
Less than 15,0,0.0,Union,Low birth weight (<2500g),11640,2009
40 to 44,*,*,Union,Low birth weight (<2500g),11634,2009
Less than 15,0,0.0,Tuscarawas,Normal birth weight (2500g+),11608,2009
18 to 19,28,87.5,Union,Normal birth weight (2500g+),11620,2009
Less than 15,0,0.0,Union,Normal birth weight (2500g+),11641,2009
15 to 17,*,*,Van Wert,Normal birth weight (2500g+),11650,2009
18 to 19,3,11.1,Van Wert,Low birth weight (<2500g),11652,2009
30 to 34,166,94.3,Union,Normal birth weight (2500g+),11629,2009
40 to 44,*,*,Van Wert,Low birth weight (<2500g),11667,2009
20 to 24,102,91.1,Van Wert,Normal birth weight (2500g+),11656,2009
45 and older,0,0.0,Van Wert,Normal birth weight (2500g+),11671,2009
Less than 15,0,0.0,Van Wert,Low birth weight (<2500g),11673,2009
25 to 29,6,5.3,Van Wert,Low birth weight (<2500g),11658,2009
15 to 17,*,*,Van Wert,Low birth weight (<2500g),11649,2009
40 to 44,*,*,Union,Normal birth weight (2500g+),11635,2009
25 to 29,108,94.7,Van Wert,Normal birth weight (2500g+),11659,2009
45 and older,0,0.0,Union,Low birth weight (<2500g),11637,2009
30 to 34,60,96.8,Van Wert,Normal birth weight (2500g+),11662,2009
Unknown,0,0.0,Van Wert,Low birth weight (<2500g),11676,2009
18 to 19,*,*,Vinton,Normal birth weight (2500g+),11686,2009
18 to 19,*,*,Van Wert,Normal birth weight (2500g+),11653,2009
30 to 34,2,3.2,Van Wert,Low birth weight (<2500g),11661,2009
Unknown,0,0.0,Van Wert,Normal birth weight (2500g+),11677,2009
Unknown,0,0.0,Union,Low birth weight (<2500g),11643,2009
25 to 29,3,6.8,Vinton,Low birth weight (<2500g),11691,2009
35 to 39,0,0.0,Van Wert,Low birth weight (<2500g),11664,2009
15 to 17,*,*,Vinton,Low birth weight (<2500g),11682,2009
35 to 39,*,*,Van Wert,Normal birth weight (2500g+),11665,2009
45 and older,0,0.0,Van Wert,Low birth weight (<2500g),11670,2009
20 to 24,10,8.9,Van Wert,Low birth weight (<2500g),11655,2009
Less than 15,0,0.0,Van Wert,Normal birth weight (2500g+),11674,2009
35 to 39,*,*,Vinton,Normal birth weight (2500g+),11698,2009
Unknown,0,0.0,Vinton,Low birth weight (<2500g),11709,2009
18 to 19,10,8.6,Warren,Low birth weight (<2500g),11718,2009
18 to 19,*,*,Vinton,Low birth weight (<2500g),11685,2009
15 to 17,32,88.9,Warren,Normal birth weight (2500g+),11716,2009
Unknown,0,0.0,Vinton,Normal birth weight (2500g+),11710,2009
20 to 24,*,*,Vinton,Low birth weight (<2500g),11688,2009
20 to 24,407,92.9,Warren,Normal birth weight (2500g+),11722,2009
40 to 44,*,*,Van Wert,Normal birth weight (2500g+),11668,2009
20 to 24,51,87.9,Vinton,Normal birth weight (2500g+),11689,2009
Less than 15,0,0.0,Vinton,Normal birth weight (2500g+),11707,2009
35 to 39,0,0.0,Vinton,Low birth weight (<2500g),11697,2009
30 to 34,*,*,Vinton,Normal birth weight (2500g+),11695,2009
35 to 39,339,91.6,Warren,Normal birth weight (2500g+),11731,2009
30 to 34,60,7.2,Warren,Low birth weight (<2500g),11727,2009
45 and older,*,*,Warren,Normal birth weight (2500g+),11737,2009
40 to 44,0,0.0,Vinton,Low birth weight (<2500g),11700,2009
15 to 17,*,*,Vinton,Normal birth weight (2500g+),11683,2009
40 to 44,*,*,Washington,Normal birth weight (2500g+),11767,2009
25 to 29,730,92.6,Warren,Normal birth weight (2500g+),11725,2009
30 to 34,772,92.8,Warren,Normal birth weight (2500g+),11728,2009
20 to 24,31,7.1,Warren,Low birth weight (<2500g),11721,2009
45 and older,0,0.0,Vinton,Low birth weight (<2500g),11703,2009
18 to 19,106,91.4,Warren,Normal birth weight (2500g+),11719,2009
Less than 15,0,0.0,Warren,Normal birth weight (2500g+),11740,2009
30 to 34,2,10.0,Vinton,Low birth weight (<2500g),11694,2009
18 to 19,2,3.3,Washington,Low birth weight (<2500g),11751,2009
Less than 15,0,0.0,Vinton,Low birth weight (<2500g),11706,2009
15 to 17,4,11.1,Warren,Low birth weight (<2500g),11715,2009
18 to 19,59,96.7,Washington,Normal birth weight (2500g+),11752,2009
45 and older,0,0.0,Vinton,Normal birth weight (2500g+),11704,2009
15 to 17,1,5.9,Washington,Low birth weight (<2500g),11748,2009
25 to 29,41,93.2,Vinton,Normal birth weight (2500g+),11692,2009
40 to 44,0,0.0,Vinton,Normal birth weight (2500g+),11701,2009
25 to 29,58,7.4,Warren,Low birth weight (<2500g),11724,2009
40 to 44,8,10.1,Warren,Low birth weight (<2500g),11733,2009
45 and older,*,*,Warren,Low birth weight (<2500g),11736,2009
Unknown,0,0.0,Warren,Normal birth weight (2500g+),11743,2009
Unknown,0,0.0,Washington,Normal birth weight (2500g+),11776,2009
30 to 34,6,5.0,Washington,Low birth weight (<2500g),11760,2009
40 to 44,71,89.9,Warren,Normal birth weight (2500g+),11734,2009
35 to 39,31,8.4,Warren,Low birth weight (<2500g),11730,2009
20 to 24,3,845,Cuyahoga,Total,100,2008
18 to 19,56,100.0,Darke,Total,6605,2008
35 to 39,57,100.0,Darke,Total,6617,2008
40 to 44,*,*,Crawford,Total,6554,2008
15 to 17,662,100.0,Cuyahoga,Total,6569,2008
35 to 39,443,100.0,Delaware,Total,6683,2008
20 to 24,204,100.0,Darke,Total,6608,2008
Unknown,0,0.0,Darke,Total,6629,2008
25 to 29,151,100.0,Defiance,Total,6644,2008
Unknown,0,0.0,Defiance,Total,6662,2008
15 to 17,*,*,Darke,Total,6602,2008
20 to 24,139,100.0,Defiance,Total,6641,2008
15 to 17,27,100.0,Erie,Total,6701,2008
Less than 15,0,0.0,Delaware,Total,6692,2008
40 to 44,*,*,Defiance,Total,6653,2008
Less than 15,0,0.0,Darke,Total,6626,2008
15 to 17,*,*,Delaware,Total,6668,2008
25 to 29,240,100.0,Erie,Total,6710,2008
30 to 34,876,100.0,Delaware,Total,6680,2008
45 and older,0,0.0,Defiance,Total,6656,2008
25 to 29,551,100.0,Fairfield,Total,6743,2008
Unknown,0,0.0,Delaware,Total,6695,2008
18 to 19,49,100.0,Delaware,Total,6671,2008
20 to 24,267,100.0,Delaware,Total,6674,2008
45 and older,*,*,Fairfield,Total,6755,2008
15 to 17,32,100.0,Fairfield,Total,6734,2008
Less than 15,0,0.0,Fairfield,Total,6758,2008
40 to 44,77,100.0,Delaware,Total,6686,2008
45 and older,0,0.0,Erie,Total,6722,2008
20 to 24,459,100.0,Fairfield,Total,6740,2008
30 to 34,371,100.0,Fairfield,Total,6746,2008
30 to 34,166,100.0,Erie,Total,6713,2008
18 to 19,37,100.0,Fayette,Total,6770,2008
45 and older,*,*,Delaware,Total,6689,2008
40 to 44,36,100.0,Fairfield,Total,6752,2008
25 to 29,583,100.0,Delaware,Total,6677,2008
20 to 24,4,335,Franklin,Total,100,2008
18 to 19,1,311,Franklin,Total,100,2008
15 to 17,*,*,Fayette,Total,6767,2008
35 to 39,63,100.0,Erie,Total,6716,2008
45 and older,*,*,Warren,Total,23750,2013
Less than 15,*,*,Washington,Total,23786,2013
25 to 29,182,100.0,Washington,Total,23771,2013
Less than 15,*,*,Wayne,Total,23819,2013
18 to 19,44,100.0,Washington,Total,23765,2013
18 to 19,40,100.0,Williams,Total,23831,2013
25 to 29,539,100.0,Wayne,Total,23804,2013
20 to 24,413,100.0,Wayne,Total,23801,2013
20 to 24,125,100.0,Williams,Total,23834,2013
15 to 17,*,*,Wood,Total,23861,2013
20 to 24,281,100.0,Wood,Total,23867,2013
18 to 19,57,100.0,Wood,Total,23864,2013
40 to 44,*,*,Williams,Total,23846,2013
15 to 17,*,*,Williams,Total,23828,2013
40 to 44,30,100.0,Wood,Total,23879,2013
45 and older,*,*,Wayne,Total,23816,2013
30 to 34,129,100.0,Washington,Total,23774,2013
18 to 19,66,100.0,Wayne,Total,23798,2013
18 to 19,*,*,Wyandot,Total,23897,2013
Less than 15,0,0.0,Williams,Total,23852,2013
Unknown,0,0.0,Williams,Total,23855,2013
15 to 17,*,*,Wyandot,Total,23894,2013
25 to 29,29,100.0,Vinton,Total,23705,2013
30 to 34,772,100.0,Warren,Total,23741,2013
25 to 29,451,100.0,Wood,Total,23870,2013
Less than 15,*,*,Wood,Total,23885,2013
25 to 29,140,100.0,Williams,Total,23837,2013
40 to 44,*,*,Washington,Total,23780,2013
35 to 39,165,100.0,Wayne,Total,23810,2013
30 to 34,92,100.0,Williams,Total,23840,2013
30 to 34,396,100.0,Wood,Total,23873,2013
Less than 15,0,0.0,Wyandot,Total,23918,2013
45 and older,0,0.0,Williams,Total,23849,2013
40 to 44,29,100.0,Wayne,Total,23813,2013
35 to 39,*,*,Williams,Total,23843,2013
30 to 34,60,100.0,Wyandot,Total,23906,2013
Unknown,0,0.0,Wayne,Total,23822,2013
35 to 39,*,*,Wyandot,Total,23909,2013
45 and older,*,*,Wood,Total,23882,2013
45 and older,0,0.0,Wyandot,Total,23915,2013
15 to 17,0,0.0,NonOH,Total,23927,2013
25 to 29,106,100.0,Wyandot,Total,23903,2013
30 to 34,0,0.0,NonOH,Total,23939,2013
35 to 39,153,100.0,Wood,Total,23876,2013
20 to 24,0,0.0,Unknown,Total,23966,2013
35 to 39,0,0.0,NonOH,Total,23942,2013
35 to 39,0,0.0,Unknown,Total,23975,2013
18 to 19,0,0.0,Unknown,Total,23963,2013
Unknown,0,0.0,Wyandot,Total,23921,2013
18 to 19,0,0.0,NonOH,Total,23930,2013
40 to 44,*,*,Wyandot,Total,23912,2013
40 to 44,0,0.0,NonOH,Total,23945,2013
15 to 17,*,*,Adams,Total,24026,2014
Unknown,0,0.0,Wood,Total,23888,2013
Unknown,0,0.0,NonOH,Total,23954,2013
25 to 29,0,0.0,NonOH,Total,23936,2013
20 to 24,114,100.0,Adams,Total,24032,2014
Less than 15,0,0.0,NonOH,Total,23951,2013
45 and older,0,0.0,Adams,Total,24047,2014
20 to 24,0,0.0,NonOH,Total,23933,2013
45 and older,0,0.0,Unknown,Total,23981,2013
Unknown,0,0.0,Unknown,Total,23987,2013
15 to 17,0,0.0,Unknown,Total,23960,2013
15 to 17,29,100.0,Allen,Total,24059,2014
20 to 24,61,100.0,Wyandot,Total,23900,2013
40 to 44,*,*,Adams,Total,24044,2014
Unknown,0,0.0,Adams,Total,24053,2014
Less than 15,0,0.0,Unknown,Total,23984,2013
20 to 24,384,100.0,Allen,Total,24065,2014
45 and older,0,0.0,NonOH,Total,23948,2013
35 to 39,93,100.0,Allen,Total,24074,2014
18 to 19,*,*,Adams,Total,24029,2014
25 to 29,*,*,Unknown,Total,23969,2013
25 to 29,103,100.0,Adams,Total,24035,2014
30 to 34,*,*,Unknown,Total,23972,2013
40 to 44,*,*,Unknown,Total,23978,2013
Unknown,0,0.0,Allen,Total,24086,2014
18 to 19,67,100.0,Allen,Total,24062,2014
30 to 34,114,100.0,Ashland,Total,24104,2014
Less than 15,*,*,Adams,Total,24050,2014
25 to 29,206,100.0,Ashland,Total,24101,2014
18 to 19,69,100.0,Ashtabula,Total,24128,2014
30 to 34,47,100.0,Adams,Total,24038,2014
35 to 39,*,*,Adams,Total,24041,2014
30 to 34,284,100.0,Allen,Total,24071,2014
40 to 44,*,*,Ashtabula,Total,24143,2014
18 to 19,*,*,Ashland,Total,24095,2014
15 to 17,*,*,Athens,Total,24158,2014
35 to 39,68,100.0,Ashland,Total,24107,2014
20 to 24,325,100.0,Ashtabula,Total,24131,2014
35 to 39,89,100.0,Ashtabula,Total,24140,2014
25 to 29,403,100.0,Allen,Total,24068,2014
40 to 44,*,*,Ashland,Total,24110,2014
Unknown,0,0.0,Ashland,Total,24119,2014
Less than 15,*,*,Allen,Total,24083,2014
Less than 15,0,0.0,Ashland,Total,24116,2014
Unknown,0,0.0,Ashtabula,Total,24152,2014
30 to 34,221,100.0,Ashtabula,Total,24137,2014
18 to 19,41,100.0,Athens,Total,24161,2014
20 to 24,171,100.0,Ashland,Total,24098,2014
45 and older,*,*,Ashland,Total,24113,2014
45 and older,0,0.0,Allen,Total,24080,2014
Less than 15,0,0.0,Ashtabula,Total,24149,2014
25 to 29,319,100.0,Ashtabula,Total,24134,2014
20 to 24,143,100.0,Athens,Total,24164,2014
15 to 17,*,*,Ashland,Total,24092,2014
25 to 29,174,100.0,Athens,Total,24167,2014
15 to 17,*,*,Ashtabula,Total,24125,2014
40 to 44,*,*,Allen,Total,24077,2014
Less than 15,*,*,Belmont,Total,24248,2014
40 to 44,*,*,Athens,Total,24176,2014
35 to 39,50,100.0,Athens,Total,24173,2014
35 to 39,41,100.0,Auglaize,Total,24206,2014
18 to 19,*,*,Madison,Total,16604,2011
20 to 24,276,100.0,Marion,Total,16673,2011
45 and older,0,0.0,Madison,Total,16622,2011
30 to 34,83,100.0,Madison,Total,16613,2011
Less than 15,*,*,Mahoning,Total,16658,2011
20 to 24,1,542,Lucas,Total,100,2011
40 to 44,86,100.0,Lorain,Total,16553,2011
40 to 44,*,*,Ashtabula,Total,119,2006
15 to 17,41,100.0,Ashtabula,Total,101,2006
20 to 24,410,100.0,Ashtabula,Total,107,2006
Less than 15,0,0.0,Athens,Total,158,2006
45 and older,0,0.0,Auglaize,Total,188,2006
15 to 17,60,100.0,Allen,Total,35,2006
15 to 17,*,*,Auglaize,Total,167,2006
Less than 15,0,0.0,Ashland,Total,92,2006
45 and older,*,*,Athens,Total,155,2006
18 to 19,57,100.0,Belmont,Total,203,2006
18 to 19,46,100.0,Brown,Total,236,2006
30 to 34,109,100.0,Auglaize,Total,179,2006
35 to 39,54,100.0,Athens,Total,149,2006
Unknown,0,0.0,Lorain,Normal birth weight (2500g+),34579,2017 **
45 and older,*,*,Lucas,Low birth weight (<2500g),34605,2017 **
25 to 29,879,90.8,Lorain,Normal birth weight (2500g+),34561,2017 **
40 to 44,68,82.9,Lucas,Normal birth weight (2500g+),34603,2017 **
25 to 29,27,7.5,Columbiana,Low birth weight (<2500g),6477,2008
18 to 19,94,94.0,Columbiana,Normal birth weight (2500g+),6472,2008
35 to 39,75,92.6,Columbiana,Normal birth weight (2500g+),6484,2008
30 to 34,2,3.3,Coshocton,Low birth weight (<2500g),6513,2008
40 to 44,*,*,Brown,Low birth weight (<2500g),9258,2009
15 to 17,137,87.8,Butler,Normal birth weight (2500g+),9274,2009
40 to 44,6,6.5,Butler,Low birth weight (<2500g),9291,2009
25 to 29,94,6.6,Butler,Low birth weight (<2500g),9282,2009
Unknown,0,0.0,Butler,Normal birth weight (2500g+),9301,2009
45 and older,0,0.0,Brown,Normal birth weight (2500g+),9262,2009
Less than 15,0,0.0,Brown,Normal birth weight (2500g+),9265,2009
20 to 24,88,7.2,Butler,Low birth weight (<2500g),9279,2009
18 to 19,31,91.2,Carroll,Normal birth weight (2500g+),9310,2009
25 to 29,14,7.3,Brown,Low birth weight (<2500g),9249,2009
40 to 44,*,*,Brown,Normal birth weight (2500g+),9259,2009
20 to 24,2,2.1,Carroll,Low birth weight (<2500g),9312,2009
25 to 29,179,92.7,Brown,Normal birth weight (2500g+),9250,2009
40 to 44,*,*,Huron,Total,13286,2010
35 to 39,77,100.0,Holmes,Total,13250,2010
30 to 34,160,100.0,Huron,Total,13280,2010
15 to 17,*,*,Jefferson,Total,13334,2010
20 to 24,178,100.0,Jefferson,Total,13340,2010
